AWG Size,Stranding,Type,Construction,material,OD,Area,Weight,Breaking Strength,Resistance,,
,,,,,mm,mm^2,kg/km,kgf,Ohms/km,,,,,,
14,37/30,C,37/30,copper,1.78,1.88,16.9,43.6,11.3,,
14,41/30,B,41/30,copper,1.88,2.08,18.8,51.1,8.64,,
14,42/30,RB,7x6/30,copper,2.09,2.13,20.3,52.4,8.85,,
14,49/30,RC,7x7/30,copper,2.29,2.48,23.9,61.1,7.66,,
14,105/34,RB,7x15/34,copper,2.08,2.11,20.1,52,9.03,,
14,105/34,B,105/34,copper,1.89,2.11,19.1,52,8.6,,
14,168/36,RB,7x24/36,copper,2.09,2.13,20.3,52.4,9.04,,
14,266/38,RB,7x38/38,copper,2.11,2.16,20.5,53.1,9.01,,
14,413/40,RB,7x59/40,copper,2.03,2.01,19.2,49.5,9.5,,
14,441/40,RB,7x3x21/40,copper,2.29,2.15,21.5,52.8,9.64,,
14,462/40,RB,7x66/40,copper,2.15,2.25,21.4,55.4,8.77,,
14,665/42,RB,7x95/42,copper,2.08,2.11,20,51.8,9.51,,
14,1050/44,RB,7x3x50/44,copper,2.28,2.13,21.3,52.4,10.1,,
14,1078/44,RB,7x7x22/44,copper,2.31,2.19,21.8,53.8,9.83,,
14,1176/44,RB,7x3x56/44,copper,2.42,2.38,23.8,58.7,9.01,,
12,49/0.0116,7x7/0.0116,RC,copper,2.64,3.34,30.6,82.1,5.25,,
12,63/30,7x9/30,RB,copper,2.59,3.21,29.8,78.9,5.57,,
12,259/36,7x37/36,RB,copper,2.59,3.28,30.4,80.7,5.25,,
10,133/0.0893,19x7/0.0893,RC,copper,3.4,5.37,49,132,3.61,,
10,49/0.0146.,7x7/0.0146,RC,copper,3.25,5.29,48.5,130,3.61,,
8,1,S,Solid,copper,3.26,8.37,74.4,206,2.1,,
8,7/16,C,7/16,copper,3.87,9.15,83.8,225,1.98,,
8,19/21,C,19/21,copper,3.62,7.82,71.6,192,2.32,,
8,37/24,C,37/24,copper,3.57,7.58,69.4,186,2.39,,
8,49/25,RC,7x7/25,copper,4.09,7.96,76.5,196,2.4,,
8,133/29,RB,7x19/29,copper,4.31,8.61,82.7,212,2.21,,
8,133/29,RC,19x7/29,copper,4.31,8.61,86.9,212,2.32,,
8,152/30,RB,19x8/30,copper,3.98,7.7,77,190,2.57,,
8,168/30,RB,7x24/30,copper,4.18,8.51,81,209,2.21,,
8,245/32,RB,7x35/32,copper,4.04,7.95,75.6,196,2.38,,
8,301/33,RB,7x43/33,copper,3.98,7.69,73.2,189,2.47,,
8,413/34,RB,7x59/34,copper,4.13,8.31,79,204,2.3,,
8,602/36,RB,7x86/36,copper,3.96,7.63,72.6,188,2.52,,
8,665/35,RB,7x95/36,copper,4.16,8.43,80.2,207,2.28,,
8,1050/38,RB,7x150/38,copper,4.18,8.51,81,209,2.28,,
8,1666/40,RB,7x7x34/40,copper,4.46,8.11,81.1,200,2.55,,
8,1715/40,RB,7x7x35/40,copper,4.52,8.35,83.5,206,2.48,,
6,1,S,Solid,copper,4.11,13.3,118,327,1.32,,
6,7/14,C,7/14,copper,4.88,14.6,131,359,1.24,,
6,19/19,C,19/19,copper,4.56,12.4,114,305,1.46,,
6,37/22,C,37/22,copper,4.72,12,110,295,1.52,,
6,49/23,RC,7x7/23,copper,5.17,12.7,122,312,1.5,,
6,133/27,RB,7x19/27,copper,5.41,13.6,131,334,1.39,,
6,133/27,RC,19x7/27,copper,5.41,13.6,137,334,1.46,,
6,259/30,RB,7x37/30,copper,5.19,13.1,125,323,1.44,,
6,427/32,RB,7x61/32,copper,5.33,13.9,132,341,1.37,,
6,665/34,RB,19x35/34,copper,5.24,13.4,134,329,1.5,,
6,665/34,RB,7x95/34,copper,5.24,13.4,127,329,1.43,,
6,1050/36,RB,7x150/36,copper,5.23,13.3,127,327,1.45,,
6,1078/36,RB,7x7x22/36,copper,5.78,13.7,137,336,1.48,,
4,7/12,C,7/12,copper,6.16,23.2,212,570,0.78,,
4,19/17,C,19/17,copper,5.75,19.8,181,486,0.92,,
4,37/20,C,37/20,copper,5.69,19.2,176,472,0.94,,
4,49/21,RC,7x7/21,copper,6.52,20.2,194,496,0.94,,
4,61/22,C,61/22,copper,5.78,19.8,179,487,0.91,,
4,133/25,RC,19x7/25,copper,6.82,21.6,218,531,0.93,,
4,133/25,RC,7x19/25,copper,6.82,21.6,208,531,0.88,,
4,259/28,RB,7x37/28,copper,6.54,20.8,198,513,0.9,,
4,259/28,RC,37x7/28,copper,6.72,20.8,210,513,0.95,,
4,413/30,RB,7x59/30,copper,6.56,20.9,199,515,0.9,,
4,437/30,RB,19x23/30,copper,6.75,22.1,221,545,0.89,,
4,1050/34,RB,7x3x50/34,copper,7.19,21.1,211,520,0.95,,
4,1064/34,RB,19x56/34,copper,6.63,21.4,214,527,0.94,,
4,1078/34,RB,7x7x22/34,copper,7.28,21.7,217,533,0.92,,
4,1666/36,RB,7x7x34/36,copper,7.19,21.1,211,519,0.96,,
4,1672/36,RB,19x88/36,copper,6.6,21.2,212,521,0.95,,
4,1813/36,RB,7x7x37/36,copper,7.5,23,230,565,0.88,,
